ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1001,Novgorodskaa oblast_,Mosenskaa,1,10,10,89,0,0,0,0,91,110,152,20,91,20,0,0,130,1,19,0,Novgorodskaa oblast_
1002,Novgorodskaa oblast_,Mosenskaa,2,12,13,71,1,2,0,0,72,101,173,29,72,29,0,0,150,0,49,0,Novgorodskaa oblast_
1003,Novgorodskaa oblast_,Mosenskaa,1,4,1,95,2,0,0,1,54,104,188,51,55,51,0,0,170,1,64,0,Novgorodskaa oblast_
1004,Novgorodskaa oblast_,Mosenskaa,0,7,12,92,1,1,0,0,78,113,162,36,78,36,0,0,150,1,36,0,Novgorodskaa oblast_
1005,Novgorodskaa oblast_,Mosenskaa,5,41,42,481,4,12,3,1,518,589,763,77,518,77,0,0,750,6,155,0,Novgorodskaa oblast_
1006,Novgorodskaa oblast_,Mosenskaa,0,1,10,65,1,0,0,1,42,78,105,36,42,36,0,0,100,0,22,0,Novgorodskaa oblast_
1007,Novgorodskaa oblast_,Mosenskaa,1,25,11,116,2,4,0,0,135,159,274,27,135,27,0,0,250,3,88,0,Novgorodskaa oblast_
1008,Novgorodskaa oblast_,Mosenskaa,1,4,20,99,0,0,2,0,74,126,179,52,74,52,0,0,170,0,44,0,Novgorodskaa oblast_
1009,Novgorodskaa oblast_,Mosenskaa,3,44,22,245,5,4,6,1,259,330,495,80,259,80,0,0,500,9,161,0,Novgorodskaa oblast_
1010,Novgorodskaa oblast_,Mosenskaa,1,11,16,104,3,2,0,0,115,137,192,22,115,22,0,0,170,0,33,0,Novgorodskaa oblast_
1011,Novgorodskaa oblast_,Mosenskaa,8,154,124,780,16,11,11,9,1039,1113,1806,97,1041,97,0,0,1700,23,562,0,Novgorodskaa oblast_
