ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
1,Respublika Buratia,Barguzinskaa,1,98,36,504,5,1,2,4,612,651,1186,43,612,43,0,0,1000,4,345,0,Respublika Buratia
2,Respublika Buratia,Barguzinskaa,1,121,50,653,7,0,2,3,711,837,1507,142,711,142,0,0,1100,16,247,0,Respublika Buratia
3,Respublika Buratia,Barguzinskaa,0,62,45,343,3,2,0,2,454,457,854,12,454,12,0,0,800,9,334,0,Respublika Buratia
4,Respublika Buratia,Barguzinskaa,2,41,27,274,1,2,0,1,316,348,712,35,316,35,0,0,650,3,299,0,Respublika Buratia
5,Respublika Buratia,Barguzinskaa,0,14,8,70,0,2,0,0,86,94,176,8,86,8,0,0,170,0,76,0,Respublika Buratia
6,Respublika Buratia,Barguzinskaa,0,41,13,220,1,1,0,1,265,277,506,19,265,19,0,0,400,7,116,0,Respublika Buratia
7,Respublika Buratia,Barguzinskaa,0,4,7,84,0,0,0,0,88,95,143,7,88,7,0,0,135,0,40,0,Respublika Buratia
8,Respublika Buratia,Barguzinskaa,1,96,44,368,7,1,0,2,474,519,1113,52,474,52,0,0,1000,7,474,0,Respublika Buratia
9,Respublika Buratia,Barguzinskaa,0,6,15,106,2,0,0,2,118,131,213,13,118,13,0,0,220,0,89,0,Respublika Buratia
10,Respublika Buratia,Barguzinskaa,3,102,62,501,10,1,5,2,656,686,1298,52,656,52,0,0,1050,22,342,0,Respublika Buratia
11,Respublika Buratia,Barguzinskaa,1,88,65,389,4,0,1,1,523,549,1124,35,523,35,0,0,1050,9,492,0,Respublika Buratia
12,Respublika Buratia,Barguzinskaa,0,22,13,90,0,0,0,0,113,125,203,14,113,14,0,0,220,2,93,0,Respublika Buratia
13,Respublika Buratia,Barguzinskaa,6,65,49,440,2,2,4,2,547,570,1162,43,547,43,0,0,1100,20,510,0,Respublika Buratia
14,Respublika Buratia,Barguzinskaa,5,68,39,320,9,1,2,2,411,446,936,38,411,38,0,0,950,3,501,0,Respublika Buratia
15,Respublika Buratia,Barguzinskaa,0,7,4,34,0,0,0,0,43,45,68,2,43,0,2,0,90,0,45,0,Respublika Buratia
16,Respublika Buratia,Barguzinskaa,0,5,15,120,0,3,1,0,125,144,167,21,125,21,0,0,200,2,54,0,Respublika Buratia
17,Respublika Buratia,Barguzinskaa,0,13,5,99,1,0,0,1,112,119,142,8,112,8,0,0,150,1,30,0,Respublika Buratia
18,Respublika Buratia,Barguzinskaa,1,2,5,81,2,0,1,0,76,92,103,16,76,16,0,0,110,0,18,0,Respublika Buratia
19,Respublika Buratia,Barguzinskaa,2,34,22,313,2,0,2,0,340,375,476,41,340,41,0,0,550,6,169,0,Respublika Buratia
20,Respublika Buratia,Barguzinskaa,1,30,16,242,0,0,0,0,235,289,475,64,235,64,0,0,550,10,251,0,Respublika Buratia
21,Respublika Buratia,Barguzinskaa,0,5,13,75,0,0,0,1,80,94,140,17,80,17,0,0,115,3,18,0,Respublika Buratia
22,Respublika Buratia,Barguzinskaa,0,35,16,166,0,0,0,0,161,217,301,59,161,59,0,0,330,3,110,0,Respublika Buratia
23,Respublika Buratia,Barguzinskaa,0,8,5,53,1,0,0,0,55,67,101,13,55,13,0,0,110,1,42,0,Respublika Buratia
24,Respublika Buratia,Barguzinskaa,0,14,14,197,0,2,0,0,195,227,280,33,195,33,0,0,300,1,72,0,Respublika Buratia
