ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
368,Kemerovskaa oblast_,Kedrovskaa,29,114,181,1596,22,8,18,51,1907,2019,2359,128,1912,128,0,0,2150,16,110,0,Kemerovskaa oblast_
369,Kemerovskaa oblast_,Kedrovskaa,34,120,192,1793,24,11,21,54,2128,2249,2601,135,2135,135,0,0,2300,14,30,0,Kemerovskaa oblast_
370,Kemerovskaa oblast_,Kedrovskaa,30,107,162,1469,24,10,15,21,1800,1838,2150,52,1808,52,0,0,1900,14,40,0,Kemerovskaa oblast_
371,Kemerovskaa oblast_,Kedrovskaa,38,117,155,1742,23,11,18,54,2125,2158,2507,51,2134,51,0,0,2200,18,15,0,Kemerovskaa oblast_
372,Kemerovskaa oblast_,Kedrovskaa,33,117,202,1571,23,10,19,51,1980,2026,2362,60,1990,60,0,0,2100,14,50,0,Kemerovskaa oblast_
373,Kemerovskaa oblast_,Kedrovskaa,37,127,204,1749,28,11,21,62,2153,2239,2601,99,2161,99,0,0,2400,13,140,0,Kemerovskaa oblast_
374,Kemerovskaa oblast_,Kedrovskaa,16,57,104,776,12,5,7,48,908,1025,1346,128,912,128,0,0,1200,11,160,0,Kemerovskaa oblast_
375,Kemerovskaa oblast_,Kedrovskaa,8,27,41,376,5,2,5,12,449,476,543,30,450,30,0,0,500,3,20,0,Kemerovskaa oblast_
230,Kemerovskaa oblast_,Kirovskaa,43,31,128,1437,27,8,4,23,1530,1701,2211,182,1547,182,0,0,2000,11,271,0,Kemerovskaa oblast_
241,Kemerovskaa oblast_,Kirovskaa,11,32,134,1514,20,18,0,32,1614,1761,2214,162,1626,162,0,0,2200,15,412,0,Kemerovskaa oblast_
242,Kemerovskaa oblast_,Kirovskaa,34,25,115,1359,15,27,6,22,1461,1603,2002,152,1477,152,0,0,2000,10,371,0,Kemerovskaa oblast_
243,Kemerovskaa oblast_,Kirovskaa,10,136,102,1280,20,9,11,11,1505,1579,2024,85,1509,85,0,0,2000,11,406,0,Kemerovskaa oblast_
244,Kemerovskaa oblast_,Kirovskaa,42,31,118,1427,18,9,6,41,1558,1692,2097,146,1570,146,0,0,2000,12,284,0,Kemerovskaa oblast_
245,Kemerovskaa oblast_,Kirovskaa,21,37,127,1475,2,8,10,44,1562,1724,2161,177,1580,177,0,0,2000,15,243,0,Kemerovskaa oblast_
246,Kemerovskaa oblast_,Kirovskaa,42,29,110,1459,16,5,6,47,1578,1714,2088,149,1588,149,0,0,2000,13,263,0,Kemerovskaa oblast_
247,Kemerovskaa oblast_,Kirovskaa,11,211,136,1172,27,15,10,10,1430,1592,1941,180,1439,180,0,0,1900,18,281,0,Kemerovskaa oblast_
248,Kemerovskaa oblast_,Kirovskaa,28,29,109,1347,15,7,5,44,1427,1584,1951,168,1440,168,0,0,1900,11,292,0,Kemerovskaa oblast_
249,Kemerovskaa oblast_,Kirovskaa,21,30,118,1410,21,8,6,40,1499,1654,2100,165,1510,165,0,0,2000,10,325,0,Kemerovskaa oblast_
250,Kemerovskaa oblast_,Kirovskaa,32,37,153,1694,31,8,0,49,1841,2004,2419,179,1855,179,0,0,2500,16,466,0,Kemerovskaa oblast_
251,Kemerovskaa oblast_,Kirovskaa,2,49,115,1706,23,11,3,23,1757,1932,2434,187,1775,187,0,0,2400,12,438,0,Kemerovskaa oblast_
252,Kemerovskaa oblast_,Kirovskaa,36,39,157,1775,38,4,8,43,1931,2100,2544,183,1950,183,0,0,2600,14,467,0,Kemerovskaa oblast_
253,Kemerovskaa oblast_,Kirovskaa,32,30,157,1718,35,6,10,48,1862,2036,2493,186,1880,186,0,0,2500,12,434,0,Kemerovskaa oblast_
254,Kemerovskaa oblast_,Kirovskaa,45,29,150,1678,26,7,11,44,1693,1990,2488,310,1707,310,0,0,2400,13,383,0,Kemerovskaa oblast_
255,Kemerovskaa oblast_,Kirovskaa,25,33,145,1594,28,9,12,39,1711,1885,2401,186,1727,186,0,0,2400,12,487,0,Kemerovskaa oblast_
256,Kemerovskaa oblast_,Kirovskaa,15,143,82,1946,13,14,3,4,2050,2220,2747,185,2056,185,0,0,2700,15,459,0,Kemerovskaa oblast_
257,Kemerovskaa oblast_,Kirovskaa,40,24,136,1506,20,4,9,35,1623,1774,2218,163,1642,163,0,0,2100,12,295,0,Kemerovskaa oblast_
258,Kemerovskaa oblast_,Kirovskaa,29,22,146,1779,25,7,2,52,1967,2062,2340,108,1981,108,0,0,2300,13,211,0,Kemerovskaa oblast_
259,Kemerovskaa oblast_,Leninskaa,21,55,84,1172,12,8,6,21,1296,1379,1631,94,1306,94,0,0,1400,11,0,0,Kemerovskaa oblast_
260,Kemerovskaa oblast_,Leninskaa,14,95,124,1060,13,18,14,21,1289,1359,1725,81,1294,81,0,0,1500,11,125,0,Kemerovskaa oblast_
261,Kemerovskaa oblast_,Leninskaa,11,43,80,1165,13,4,3,20,1232,1339,1645,122,1244,122,0,0,1400,15,34,0,Kemerovskaa oblast_
262,Kemerovskaa oblast_,Leninskaa,3,135,83,1617,7,3,4,9,1803,1861,2078,83,1820,83,0,0,1950,25,47,0,Kemerovskaa oblast_
263,Kemerovskaa oblast_,Leninskaa,9,290,139,1079,29,20,20,15,1577,1601,2344,53,1577,53,0,0,2050,29,420,0,Kemerovskaa oblast_
264,Kemerovskaa oblast_,Leninskaa,8,287,119,1248,34,22,20,30,1689,1768,2327,102,1698,102,0,0,2000,23,200,0,Kemerovskaa oblast_
265,Kemerovskaa oblast_,Leninskaa,11,39,60,1886,15,6,4,10,1920,2031,2202,116,1920,116,0,0,2050,5,14,0,Kemerovskaa oblast_
266,Kemerovskaa oblast_,Leninskaa,18,298,75,1583,25,8,7,18,1880,2032,2416,166,1888,166,0,0,2350,14,296,0,Kemerovskaa oblast_
267,Kemerovskaa oblast_,Leninskaa,11,87,69,1402,23,9,9,35,1529,1645,2164,129,1529,129,0,0,2000,13,342,0,Kemerovskaa oblast_
268,Kemerovskaa oblast_,Leninskaa,15,81,115,1575,26,11,8,25,1759,1856,2474,111,1773,111,0,0,2150,14,266,0,Kemerovskaa oblast_
269,Kemerovskaa oblast_,Leninskaa,14,93,113,1618,30,12,22,22,1806,1924,2454,136,1806,136,0,0,2150,18,208,0,Kemerovskaa oblast_
270,Kemerovskaa oblast_,Leninskaa,15,261,83,922,40,8,18,16,1358,1363,2091,24,1358,24,0,0,1800,19,418,0,Kemerovskaa oblast_
271,Kemerovskaa oblast_,Leninskaa,10,84,121,1695,28,11,7,27,1876,1983,2525,119,1886,119,0,0,2150,12,145,0,Kemerovskaa oblast_
272,Kemerovskaa oblast_,Leninskaa,10,179,12,947,26,8,10,14,1115,1206,1422,116,1115,122,0,0,1250,25,13,0,Kemerovskaa oblast_
273,Kemerovskaa oblast_,Leninskaa,14,140,126,1262,27,10,13,12,1415,1604,2135,212,1415,212,0,0,1850,23,223,0,Kemerovskaa oblast_
274,Kemerovskaa oblast_,Leninskaa,11,63,129,1675,25,6,7,24,1788,1940,2291,162,1791,162,0,0,2100,10,147,0,Kemerovskaa oblast_
275,Kemerovskaa oblast_,Leninskaa,15,68,71,1589,23,7,8,39,1779,1820,2211,49,1786,49,0,0,1950,8,115,0,Kemerovskaa oblast_
276,Kemerovskaa oblast_,Leninskaa,7,28,29,1235,12,6,5,8,1315,1330,1642,32,1324,32,0,0,1400,17,44,0,Kemerovskaa oblast_
277,Kemerovskaa oblast_,Leninskaa,13,167,102,1533,15,11,18,29,1811,1888,2531,99,1811,99,0,0,2050,22,140,0,Kemerovskaa oblast_
278,Kemerovskaa oblast_,Leninskaa,1,6,9,870,3,3,1,3,859,896,948,42,861,42,0,0,950,5,47,0,Kemerovskaa oblast_
279,Kemerovskaa oblast_,Leninskaa,6,63,55,875,15,6,5,25,598,1050,1380,487,603,487,0,0,1350,35,260,0,Kemerovskaa oblast_
280,Kemerovskaa oblast_,Leninskaa,7,102,107,1274,33,18,11,22,1494,1574,2013,100,1500,100,0,0,1750,20,150,0,Kemerovskaa oblast_
281,Kemerovskaa oblast_,Leninskaa,7,82,102,1187,16,5,5,16,1275,1420,1920,151,1278,151,0,0,1650,6,221,0,Kemerovskaa oblast_
282,Kemerovskaa oblast_,Leninskaa,12,266,131,1333,37,9,13,21,1503,1822,2430,342,1503,342,0,0,1900,23,55,0,Kemerovskaa oblast_
283,Kemerovskaa oblast_,Leninskaa,8,76,95,1147,24,9,8,20,1302,1387,1746,98,1314,98,0,0,1550,13,138,0,Kemerovskaa oblast_
284,Kemerovskaa oblast_,Leninskaa,10,76,107,1238,19,7,5,20,1472,1482,1801,38,1482,38,0,0,1550,28,30,0,Kemerovskaa oblast_
285,Kemerovskaa oblast_,Leninskaa,11,91,155,1561,29,13,10,51,1865,1921,2383,80,1886,80,0,0,2050,24,84,0,Kemerovskaa oblast_
286,Kemerovskaa oblast_,Leninskaa,3,227,81,1071,17,5,4,15,1366,1423,1908,57,1369,57,0,0,1600,0,174,0,Kemerovskaa oblast_
287,Kemerovskaa oblast_,Leninskaa,8,96,126,1088,32,17,9,22,1365,1398,1990,43,1365,43,0,0,1750,10,342,0,Kemerovskaa oblast_
288,Kemerovskaa oblast_,Leninskaa,7,130,28,1529,8,5,3,7,1724,1717,1977,38,1724,38,0,0,1800,45,38,0,Kemerovskaa oblast_
289,Kemerovskaa oblast_,Leninskaa,16,100,86,1766,27,8,9,29,1890,2041,2334,156,1900,156,0,0,2100,5,44,0,Kemerovskaa oblast_
290,Kemerovskaa oblast_,Leninskaa,18,86,106,1779,29,10,9,31,2012,2068,2340,56,2012,56,0,0,2200,0,132,0,Kemerovskaa oblast_
291,Kemerovskaa oblast_,Leninskaa,16,106,187,1953,28,11,9,35,2296,2345,2461,60,2303,60,0,0,2400,11,37,0,Kemerovskaa oblast_
292,Kemerovskaa oblast_,Leninskaa,5,98,61,750,23,9,10,9,909,965,1225,66,975,66,0,0,1050,10,9,0,Kemerovskaa oblast_
293,Kemerovskaa oblast_,Leninskaa,10,81,68,1401,19,5,6,26,1450,1616,1990,186,1459,186,0,0,1700,20,55,0,Kemerovskaa oblast_
294,Kemerovskaa oblast_,Leninskaa,9,155,80,868,25,10,7,18,1153,1172,1760,33,1162,33,0,0,1500,14,305,0,Kemerovskaa oblast_
295,Kemerovskaa oblast_,Leninskaa,26,46,29,1398,6,3,7,5,1445,1520,1807,90,1460,90,0,0,1700,15,150,0,Kemerovskaa oblast_
296,Kemerovskaa oblast_,Leninskaa,1,157,81,851,21,5,11,25,1087,1152,1650,93,1087,93,0,0,1400,28,220,0,Kemerovskaa oblast_
297,Kemerovskaa oblast_,Leninskaa,6,167,96,939,38,7,18,21,1236,1292,1827,70,1247,70,0,0,1600,14,283,0,Kemerovskaa oblast_
298,Kemerovskaa oblast_,Leninskaa,12,77,75,1562,22,7,8,28,1650,1791,1980,146,1650,146,0,0,1800,5,4,0,Kemerovskaa oblast_
299,Kemerovskaa oblast_,Leninskaa,8,79,89,1364,24,11,7,37,1589,1619,1907,41,1630,41,0,0,1750,11,79,0,Kemerovskaa oblast_
300,Kemerovskaa oblast_,Leninskaa,13,65,98,1350,21,6,6,30,1581,1589,1720,20,1583,20,0,0,1650,12,47,0,Kemerovskaa oblast_
301,Kemerovskaa oblast_,Leninskaa,4,15,21,1383,6,2,1,12,1402,1444,1532,52,1404,52,0,0,1500,10,44,0,Kemerovskaa oblast_
302,Kemerovskaa oblast_,Leninskaa,11,54,61,1160,14,6,5,21,1315,1332,1514,21,1319,21,0,0,1400,4,60,0,Kemerovskaa oblast_
303,Kemerovskaa oblast_,Leninskaa,13,241,114,1035,34,9,13,28,1419,1487,2261,83,1420,83,0,0,1950,15,447,0,Kemerovskaa oblast_
304,Kemerovskaa oblast_,Leninskaa,3,17,31,1576,3,3,2,10,1547,1645,1892,111,1671,111,0,0,1800,13,18,0,Kemerovskaa oblast_
305,Kemerovskaa oblast_,Leninskaa,4,20,36,1717,5,6,6,11,1705,1805,1959,118,1723,118,0,0,1850,18,9,0,Kemerovskaa oblast_
116,Kemerovskaa oblast_,Rudnicnaa,22,86,144,1880,47,16,9,16,2194,2220,2654,42,2194,42,0,0,2400,16,164,0,Kemerovskaa oblast_
231,Kemerovskaa oblast_,Rudnicnaa,27,62,99,1356,12,7,5,4,1570,1572,1862,25,1585,25,0,0,1800,23,190,0,Kemerovskaa oblast_
306,Kemerovskaa oblast_,Rudnicnaa,8,91,112,1460,8,3,1,5,1488,1688,1914,210,1492,210,0,0,1800,10,98,0,Kemerovskaa oblast_
307,Kemerovskaa oblast_,Rudnicnaa,9,71,107,1518,13,11,13,9,1580,1751,2110,189,1583,189,0,0,2000,18,228,0,Kemerovskaa oblast_
308,Kemerovskaa oblast_,Rudnicnaa,9,36,80,986,10,2,3,7,1059,1133,1289,86,1064,86,0,0,1200,12,50,0,Kemerovskaa oblast_
309,Kemerovskaa oblast_,Rudnicnaa,26,46,169,1773,22,1,1,2,1980,2040,2267,65,1985,65,0,0,2200,5,150,0,Kemerovskaa oblast_
310,Kemerovskaa oblast_,Rudnicnaa,16,62,97,1274,18,4,6,11,1307,1488,1936,193,1314,193,0,0,1900,12,393,0,Kemerovskaa oblast_
311,Kemerovskaa oblast_,Rudnicnaa,28,54,89,1797,36,5,2,14,1880,2025,2389,162,1880,162,0,0,2300,17,258,0,Kemerovskaa oblast_
312,Kemerovskaa oblast_,Rudnicnaa,22,54,108,1221,31,13,6,13,1337,1468,2210,146,1349,146,0,0,2000,15,505,0,Kemerovskaa oblast_
313,Kemerovskaa oblast_,Rudnicnaa,23,72,114,1467,20,8,5,13,1591,1722,1988,138,1596,138,0,0,1900,7,166,0,Kemerovskaa oblast_
314,Kemerovskaa oblast_,Rudnicnaa,27,79,110,1342,26,8,3,14,1478,1609,2131,149,1486,149,0,0,2000,18,365,0,Kemerovskaa oblast_
315,Kemerovskaa oblast_,Rudnicnaa,5,44,139,1571,10,7,5,10,1786,1791,2020,26,1800,26,0,0,2000,21,174,0,Kemerovskaa oblast_
316,Kemerovskaa oblast_,Rudnicnaa,22,62,111,1145,23,15,13,17,1268,1408,1875,156,1277,156,0,0,1800,16,367,0,Kemerovskaa oblast_
317,Kemerovskaa oblast_,Rudnicnaa,14,110,129,1045,24,19,11,21,1320,1373,2101,68,1325,68,0,0,2000,15,607,0,Kemerovskaa oblast_
318,Kemerovskaa oblast_,Rudnicnaa,32,121,125,1479,7,16,6,18,1684,1804,2388,125,1688,125,0,0,2300,5,487,0,Kemerovskaa oblast_
319,Kemerovskaa oblast_,Rudnicnaa,21,62,129,1211,32,11,11,24,1443,1501,1905,72,1452,72,0,0,1900,14,376,0,Kemerovskaa oblast_
320,Kemerovskaa oblast_,Rudnicnaa,24,90,168,1616,33,11,9,8,1624,1959,2471,351,1628,351,0,0,2100,16,121,0,Kemerovskaa oblast_
321,Kemerovskaa oblast_,Rudnicnaa,10,154,126,1063,28,4,7,11,1357,1403,1812,59,1357,59,0,0,1800,13,384,0,Kemerovskaa oblast_
322,Kemerovskaa oblast_,Rudnicnaa,26,75,131,1404,38,17,16,10,1547,1717,1973,180,1557,180,0,0,1900,10,163,0,Kemerovskaa oblast_
323,Kemerovskaa oblast_,Rudnicnaa,19,69,104,1208,25,10,13,9,1334,1457,1887,136,1339,136,0,0,1800,13,325,0,Kemerovskaa oblast_
324,Kemerovskaa oblast_,Rudnicnaa,28,76,136,1865,29,18,16,14,1939,2182,2603,258,1949,258,0,0,2300,15,93,0,Kemerovskaa oblast_
325,Kemerovskaa oblast_,Rudnicnaa,29,88,158,1489,16,5,2,9,1604,1796,2244,206,1615,206,0,0,2100,14,279,0,Kemerovskaa oblast_
326,Kemerovskaa oblast_,Rudnicnaa,14,110,105,1574,22,5,5,7,1816,1842,2430,40,1830,40,0,0,2300,14,430,0,Kemerovskaa oblast_
327,Kemerovskaa oblast_,Rudnicnaa,15,444,111,1603,94,15,28,36,2277,2346,3445,93,2277,93,0,0,3000,24,630,0,Kemerovskaa oblast_
366,Kemerovskaa oblast_,Rudnicnaa,31,52,145,1897,19,7,2,11,2071,2164,2506,110,2075,110,0,0,2500,17,315,0,Kemerovskaa oblast_
367,Kemerovskaa oblast_,Rudnicnaa,9,89,106,1694,21,6,10,8,1951,1943,2384,18,1981,18,0,0,2300,26,301,0,Kemerovskaa oblast_
1743,Kemerovskaa oblast_,Rudnicnaa,41,81,158,2233,43,17,11,47,2533,2631,3032,115,2545,115,0,0,3000,17,340,0,Kemerovskaa oblast_
328,Kemerovskaa oblast_,Zentral_naa,7,168,58,738,43,9,13,23,1016,1059,1626,50,1017,50,0,0,1300,7,233,0,Kemerovskaa oblast_
329,Kemerovskaa oblast_,Zentral_naa,10,61,54,838,7,0,2,0,831,972,1308,156,851,156,0,0,1050,15,43,0,Kemerovskaa oblast_
330,Kemerovskaa oblast_,Zentral_naa,14,43,54,948,13,16,9,14,884,1111,1358,238,890,238,0,0,1250,11,122,0,Kemerovskaa oblast_
331,Kemerovskaa oblast_,Zentral_naa,17,97,139,1675,15,9,16,28,1710,1996,2386,301,1727,301,0,0,2100,15,72,0,Kemerovskaa oblast_
332,Kemerovskaa oblast_,Zentral_naa,16,50,12,1069,7,18,30,17,1123,1219,1572,105,1153,105,0,0,1300,9,42,0,Kemerovskaa oblast_
333,Kemerovskaa oblast_,Zentral_naa,6,33,31,1027,13,12,9,20,1116,1151,1511,58,1160,58,0,0,1250,23,32,0,Kemerovskaa oblast_
334,Kemerovskaa oblast_,Zentral_naa,3,18,24,1180,11,2,3,6,1111,1247,1804,139,1129,139,0,0,1450,3,182,0,Kemerovskaa oblast_
335,Kemerovskaa oblast_,Zentral_naa,8,36,42,826,12,3,4,6,884,937,1345,67,1006,67,0,0,1100,14,27,0,Kemerovskaa oblast_
336,Kemerovskaa oblast_,Zentral_naa,11,167,80,1005,17,13,14,26,1207,1333,1768,146,1226,146,0,0,1450,20,78,0,Kemerovskaa oblast_
337,Kemerovskaa oblast_,Zentral_naa,11,36,121,1122,6,1,3,5,1291,1305,1657,20,1306,20,0,0,1350,6,24,0,Kemerovskaa oblast_
338,Kemerovskaa oblast_,Zentral_naa,7,57,73,1073,5,4,3,21,1184,1243,1813,77,1214,77,0,0,1500,18,209,0,Kemerovskaa oblast_
339,Kemerovskaa oblast_,Zentral_naa,0,49,51,752,15,0,0,10,835,877,1364,52,838,52,0,0,1150,10,260,0,Kemerovskaa oblast_
340,Kemerovskaa oblast_,Zentral_naa,3,54,58,780,27,7,9,20,900,958,1362,58,900,58,0,0,1050,0,92,0,Kemerovskaa oblast_
341,Kemerovskaa oblast_,Zentral_naa,13,105,33,1389,23,10,11,30,1258,1614,1894,371,1258,371,0,0,1700,15,71,0,Kemerovskaa oblast_
342,Kemerovskaa oblast_,Zentral_naa,11,126,40,1415,19,4,13,25,1541,1653,1885,122,1546,122,0,0,1700,10,32,0,Kemerovskaa oblast_
343,Kemerovskaa oblast_,Zentral_naa,14,273,108,1132,72,7,28,38,1637,1672,2685,55,1638,55,0,0,2150,20,457,0,Kemerovskaa oblast_
344,Kemerovskaa oblast_,Zentral_naa,11,56,95,1429,6,9,16,18,1600,1640,2247,68,1662,68,0,0,1850,28,120,0,Kemerovskaa oblast_
345,Kemerovskaa oblast_,Zentral_naa,11,79,99,2041,55,19,22,51,2218,2377,2930,180,2221,180,0,0,2450,21,49,0,Kemerovskaa oblast_
346,Kemerovskaa oblast_,Zentral_naa,7,33,36,1388,1,1,2,5,1465,1473,2100,97,1612,97,0,0,1750,89,41,0,Kemerovskaa oblast_
347,Kemerovskaa oblast_,Zentral_naa,11,58,65,1210,11,2,8,18,1345,1383,1602,55,1354,55,0,0,1550,17,141,0,Kemerovskaa oblast_
348,Kemerovskaa oblast_,Zentral_naa,13,50,57,1112,11,7,9,36,1191,1295,1629,115,1201,115,0,0,1350,11,34,0,Kemerovskaa oblast_
349,Kemerovskaa oblast_,Zentral_naa,15,127,48,987,14,7,11,9,1188,1218,1566,50,1190,50,0,0,1300,20,60,0,Kemerovskaa oblast_
350,Kemerovskaa oblast_,Zentral_naa,9,63,78,1192,12,9,7,11,1321,1381,1758,77,1329,77,0,0,1450,17,44,0,Kemerovskaa oblast_
351,Kemerovskaa oblast_,Zentral_naa,6,51,93,1397,11,3,9,21,1574,1591,1935,46,1580,46,0,0,1650,29,24,0,Kemerovskaa oblast_
352,Kemerovskaa oblast_,Zentral_naa,7,131,45,1384,8,5,13,15,1515,1608,1964,113,1518,113,0,0,1650,20,19,0,Kemerovskaa oblast_
353,Kemerovskaa oblast_,Zentral_naa,11,242,153,1153,23,13,11,19,1500,1625,2637,145,1506,145,0,0,2250,20,599,0,Kemerovskaa oblast_
354,Kemerovskaa oblast_,Zentral_naa,7,84,129,1491,18,9,9,7,1725,1754,2221,44,1733,44,0,0,1850,15,73,0,Kemerovskaa oblast_
355,Kemerovskaa oblast_,Zentral_naa,8,72,67,1201,20,5,13,10,1219,1396,1737,183,1224,183,0,0,1450,6,43,0,Kemerovskaa oblast_
356,Kemerovskaa oblast_,Zentral_naa,6,81,67,1172,15,10,4,12,1199,1367,1766,171,1199,171,0,0,1500,3,130,0,Kemerovskaa oblast_
357,Kemerovskaa oblast_,Zentral_naa,6,80,92,1269,8,7,7,11,1341,1480,1872,151,1347,151,0,0,1650,12,152,0,Kemerovskaa oblast_
358,Kemerovskaa oblast_,Zentral_naa,8,72,99,1441,4,26,11,20,1587,1681,2121,109,1587,109,0,0,1750,15,54,0,Kemerovskaa oblast_
359,Kemerovskaa oblast_,Zentral_naa,19,65,77,1534,32,20,21,22,1650,1790,2290,163,1650,163,0,0,1950,23,137,0,Kemerovskaa oblast_
360,Kemerovskaa oblast_,Zentral_naa,2,80,101,1360,19,1,3,3,1491,1569,1964,80,1491,80,0,0,1600,2,29,0,Kemerovskaa oblast_
361,Kemerovskaa oblast_,Zentral_naa,17,152,114,1278,37,6,13,22,1609,1639,2115,50,1632,50,0,0,1750,20,68,0,Kemerovskaa oblast_
362,Kemerovskaa oblast_,Zentral_naa,6,63,46,1456,12,11,12,9,1404,1615,2055,244,1405,244,0,0,1700,33,51,0,Kemerovskaa oblast_
363,Kemerovskaa oblast_,Zentral_naa,12,173,69,1998,13,8,3,28,2254,2304,2699,69,2283,69,0,0,2500,19,148,0,Kemerovskaa oblast_
364,Kemerovskaa oblast_,Zentral_naa,10,105,180,1785,25,15,20,10,2128,2150,2702,37,2128,37,0,0,2300,15,135,0,Kemerovskaa oblast_
365,Kemerovskaa oblast_,Zentral_naa,14,74,150,1574,44,48,22,7,1856,1933,2963,77,1856,77,0,0,2500,0,567,0,Kemerovskaa oblast_
1766,Kemerovskaa oblast_,Zentral_naa,3,10,6,361,2,3,2,2,298,389,390,92,298,92,0,0,400,1,10,0,Kemerovskaa oblast_
1767,Kemerovskaa oblast_,Zentral_naa,4,19,24,668,5,5,4,2,251,731,739,486,251,486,0,0,800,6,63,0,Kemerovskaa oblast_
1086,Kemerovskaa oblast_,Kemerovskaa,3,87,41,608,14,3,5,10,749,771,849,24,749,24,0,0,830,2,57,0,Kemerovskaa oblast_
1087,Kemerovskaa oblast_,Kemerovskaa,1,26,9,231,12,2,3,18,218,302,337,85,218,85,0,0,330,1,27,0,Kemerovskaa oblast_
1088,Kemerovskaa oblast_,Kemerovskaa,4,23,11,175,2,3,4,7,216,229,250,14,216,14,0,0,250,1,20,0,Kemerovskaa oblast_
1089,Kemerovskaa oblast_,Kemerovskaa,6,129,75,1113,11,3,2,4,1185,1343,1768,187,1185,187,0,0,1780,29,408,0,Kemerovskaa oblast_
1090,Kemerovskaa oblast_,Kemerovskaa,1,54,52,933,4,1,2,3,653,1050,1280,400,653,400,0,0,1310,3,257,0,Kemerovskaa oblast_
1091,Kemerovskaa oblast_,Kemerovskaa,4,155,63,1433,2,2,3,5,1493,1667,1965,178,1500,178,0,0,1970,4,292,0,Kemerovskaa oblast_
1092,Kemerovskaa oblast_,Kemerovskaa,5,138,93,1957,20,4,3,10,2185,2230,2606,47,2197,47,0,0,2600,2,356,0,Kemerovskaa oblast_
1093,Kemerovskaa oblast_,Kemerovskaa,2,38,16,350,4,2,1,6,410,419,461,10,410,10,0,0,435,1,15,0,Kemerovskaa oblast_
1094,Kemerovskaa oblast_,Kemerovskaa,3,136,55,916,3,5,1,3,902,1122,1323,226,905,226,0,0,1345,6,214,0,Kemerovskaa oblast_
1095,Kemerovskaa oblast_,Kemerovskaa,5,130,68,1454,12,4,2,6,1558,1681,1846,123,1561,123,0,0,1810,0,126,0,Kemerovskaa oblast_
1096,Kemerovskaa oblast_,Kemerovskaa,2,13,7,146,1,1,1,1,133,172,187,40,133,40,0,0,185,1,12,0,Kemerovskaa oblast_
1097,Kemerovskaa oblast_,Kemerovskaa,3,44,23,342,2,4,5,17,262,440,488,180,262,180,0,0,450,2,8,0,Kemerovskaa oblast_
1098,Kemerovskaa oblast_,Kemerovskaa,1,60,26,593,1,3,1,1,571,686,748,119,571,119,0,0,770,4,80,0,Kemerovskaa oblast_
1099,Kemerovskaa oblast_,Kemerovskaa,2,42,16,453,1,3,2,3,426,522,591,98,426,98,0,0,590,2,66,0,Kemerovskaa oblast_
1100,Kemerovskaa oblast_,Kemerovskaa,2,92,39,742,1,2,3,6,740,887,1038,153,740,153,0,0,1055,6,162,0,Kemerovskaa oblast_
1101,Kemerovskaa oblast_,Kemerovskaa,3,69,39,693,5,1,4,6,728,820,935,92,728,92,0,0,930,0,110,0,Kemerovskaa oblast_
1102,Kemerovskaa oblast_,Kemerovskaa,1,17,11,230,1,2,1,4,256,267,298,12,256,12,0,0,300,1,32,0,Kemerovskaa oblast_
1103,Kemerovskaa oblast_,Kemerovskaa,3,111,89,1079,15,3,2,4,1089,1306,1661,222,1089,222,0,0,1660,5,349,0,Kemerovskaa oblast_
1104,Kemerovskaa oblast_,Kemerovskaa,7,199,102,1791,15,4,6,12,1882,2136,2734,256,1882,256,0,0,2710,2,572,0,Kemerovskaa oblast_
1105,Kemerovskaa oblast_,Kemerovskaa,2,59,24,781,5,2,3,6,864,882,1090,21,864,21,0,0,1065,3,180,0,Kemerovskaa oblast_
1106,Kemerovskaa oblast_,Kemerovskaa,4,46,20,577,11,5,4,14,646,681,768,39,646,39,0,0,720,4,35,0,Kemerovskaa oblast_
1107,Kemerovskaa oblast_,Kemerovskaa,1,22,7,249,2,2,1,3,260,287,331,28,260,28,0,0,330,1,42,0,Kemerovskaa oblast_
1108,Kemerovskaa oblast_,Kemerovskaa,2,8,4,196,2,3,2,11,217,228,256,11,217,11,0,0,239,0,11,0,Kemerovskaa oblast_
1109,Kemerovskaa oblast_,Kemerovskaa,1,20,9,223,5,1,2,3,167,264,294,97,167,97,0,0,295,0,31,0,Kemerovskaa oblast_
1110,Kemerovskaa oblast_,Kemerovskaa,2,83,49,709,4,2,3,4,651,856,998,206,656,206,0,0,1030,1,168,0,Kemerovskaa oblast_
1111,Kemerovskaa oblast_,Kemerovskaa,2,104,25,723,2,3,3,5,801,867,967,66,801,66,0,0,970,0,103,0,Kemerovskaa oblast_
1112,Kemerovskaa oblast_,Kemerovskaa,3,126,71,1641,19,3,5,4,1783,1872,2170,94,1794,94,0,0,2190,5,302,0,Kemerovskaa oblast_
1113,Kemerovskaa oblast_,Kemerovskaa,2,34,21,636,12,1,4,4,695,714,822,20,699,20,0,0,835,1,116,0,Kemerovskaa oblast_
1114,Kemerovskaa oblast_,Kemerovskaa,3,126,62,1749,21,2,5,7,1909,1975,2346,70,1922,70,0,0,2410,4,418,0,Kemerovskaa oblast_
