ps_id,region_name,subregion_name,baburin,grudinin,zhirinovskiy,putin,sobchak,suraikin,titov,yavlinskiy,papers_in_boxes,valid_papers,voters,papers_portable,papers_inside,papers_outside,papers_advance,papers_excessive,papers_acquired,papers_invalid,papers_unused,papers_lost,key
713,Altajskij kraj,Bystroistokskaa,1,109,42,398,2,3,0,0,421,555,815,139,421,139,0,0,750,5,190,0,Altajskij kraj
714,Altajskij kraj,Bystroistokskaa,4,27,27,199,0,3,0,0,224,260,355,38,224,38,0,0,350,2,88,0,Altajskij kraj
715,Altajskij kraj,Bystroistokskaa,3,100,47,325,2,1,2,1,424,481,812,63,424,63,0,0,750,6,263,0,Altajskij kraj
716,Altajskij kraj,Bystroistokskaa,2,131,51,420,1,5,1,5,567,616,960,56,568,56,0,0,900,7,276,0,Altajskij kraj
717,Altajskij kraj,Bystroistokskaa,6,155,66,406,5,2,2,1,586,643,1034,65,586,65,0,0,1000,8,349,0,Altajskij kraj
718,Altajskij kraj,Bystroistokskaa,2,133,35,234,3,0,0,1,388,408,662,22,388,22,0,0,650,2,240,0,Altajskij kraj
719,Altajskij kraj,Bystroistokskaa,1,137,35,322,2,4,3,2,427,506,720,87,427,87,0,0,700,8,186,0,Altajskij kraj
720,Altajskij kraj,Bystroistokskaa,3,99,40,484,2,5,1,3,571,637,961,71,571,71,0,0,1000,5,358,0,Altajskij kraj
721,Altajskij kraj,Bystroistokskaa,1,94,50,402,4,5,3,0,493,559,900,71,493,71,0,0,900,5,336,0,Altajskij kraj
722,Altajskij kraj,Bystroistokskaa,2,25,9,126,2,4,0,1,149,169,205,20,149,20,0,0,200,0,31,0,Altajskij kraj
724,Altajskij kraj,Volcihinskaa,5,362,102,594,3,7,4,6,1016,1083,1791,77,1016,77,0,0,1460,10,367,0,Altajskij kraj
725,Altajskij kraj,Volcihinskaa,11,406,114,750,13,8,5,4,1231,1311,2153,99,1231,99,0,0,1820,19,490,0,Altajskij kraj
726,Altajskij kraj,Volcihinskaa,4,426,82,686,6,8,3,3,1161,1218,1981,71,1161,71,0,0,1700,14,468,0,Altajskij kraj
727,Altajskij kraj,Volcihinskaa,11,368,86,569,1,15,5,6,1037,1061,1654,43,1037,43,0,0,1420,19,340,0,Altajskij kraj
728,Altajskij kraj,Volcihinskaa,0,20,5,44,0,0,1,1,69,71,110,2,69,2,0,0,100,0,29,0,Altajskij kraj
729,Altajskij kraj,Volcihinskaa,3,70,28,172,0,2,0,0,262,275,444,15,262,15,0,0,390,2,113,0,Altajskij kraj
730,Altajskij kraj,Volcihinskaa,5,178,55,392,7,5,2,5,597,649,939,61,597,61,0,0,800,9,142,0,Altajskij kraj
731,Altajskij kraj,Volcihinskaa,2,43,29,107,0,1,0,0,163,182,257,19,163,19,0,0,220,0,38,0,Altajskij kraj
732,Altajskij kraj,Volcihinskaa,4,116,28,390,2,2,0,1,428,543,659,115,428,115,0,0,560,0,17,0,Altajskij kraj
733,Altajskij kraj,Volcihinskaa,5,118,66,390,2,6,2,1,554,590,836,40,554,40,0,0,690,4,96,0,Altajskij kraj
734,Altajskij kraj,Volcihinskaa,3,85,37,280,0,5,0,0,352,410,641,61,352,61,0,0,550,3,137,0,Altajskij kraj
735,Altajskij kraj,Volcihinskaa,0,17,20,159,1,1,0,0,176,198,262,24,176,24,0,0,230,2,30,0,Altajskij kraj
736,Altajskij kraj,Volcihinskaa,0,49,28,148,0,1,1,0,216,227,307,14,216,14,0,0,270,3,40,0,Altajskij kraj
737,Altajskij kraj,Volcihinskaa,2,98,29,233,3,2,1,0,327,368,428,43,327,43,0,0,420,2,50,0,Altajskij kraj
738,Altajskij kraj,Volcihinskaa,2,31,30,208,1,2,2,0,250,276,375,28,250,28,0,0,330,2,52,0,Altajskij kraj
739,Altajskij kraj,Volcihinskaa,7,94,47,346,2,4,2,0,453,502,691,56,453,56,0,0,580,7,71,0,Altajskij kraj
740,Altajskij kraj,Volcihinskaa,4,151,57,370,3,1,1,3,513,590,711,85,513,85,0,0,600,8,2,0,Altajskij kraj
741,Altajskij kraj,Volcihinskaa,0,16,18,32,0,0,0,1,59,67,79,10,59,10,0,0,70,2,1,0,Altajskij kraj
743,Altajskij kraj,Egor_evskaa,2,20,10,176,0,0,0,0,162,208,260,46,162,46,0,0,250,0,42,0,Altajskij kraj
744,Altajskij kraj,Egor_evskaa,1,15,10,78,0,0,0,0,93,104,160,13,93,13,0,0,150,2,44,0,Altajskij kraj
745,Altajskij kraj,Egor_evskaa,1,98,21,278,0,1,0,0,345,399,597,56,345,56,0,0,600,2,199,0,Altajskij kraj
746,Altajskij kraj,Egor_evskaa,2,59,34,169,1,0,0,1,219,266,423,51,219,51,0,0,450,4,180,0,Altajskij kraj
747,Altajskij kraj,Egor_evskaa,7,149,61,389,2,2,2,2,469,614,959,157,469,157,0,0,1000,12,374,0,Altajskij kraj
748,Altajskij kraj,Egor_evskaa,1,76,9,160,1,1,0,1,213,249,440,39,213,39,0,0,420,3,168,0,Altajskij kraj
749,Altajskij kraj,Egor_evskaa,2,286,79,692,4,10,3,2,984,1078,1948,116,984,116,0,0,2000,22,900,0,Altajskij kraj
750,Altajskij kraj,Egor_evskaa,5,370,115,996,10,4,2,4,1409,1506,2569,110,1410,110,0,0,2500,13,980,0,Altajskij kraj
751,Altajskij kraj,Egor_evskaa,3,80,28,244,2,2,1,0,303,360,552,58,303,58,0,0,550,1,189,0,Altajskij kraj
752,Altajskij kraj,Egor_evskaa,0,28,7,130,2,2,0,0,134,169,228,36,134,36,0,0,230,1,60,0,Altajskij kraj
753,Altajskij kraj,Egor_evskaa,7,229,85,560,9,10,2,0,743,902,1346,162,743,162,0,0,1400,3,495,0,Altajskij kraj
754,Altajskij kraj,Egor_evskaa,3,157,39,298,3,5,0,1,440,506,720,70,440,70,0,0,700,4,190,0,Altajskij kraj
756,Altajskij kraj,El_zovskaa,3,7,13,121,0,0,0,1,132,145,173,15,132,11,4,0,190,2,43,0,Altajskij kraj
757,Altajskij kraj,El_zovskaa,13,302,142,1017,12,12,6,6,1386,1510,2266,141,1390,141,0,0,2300,17,769,0,Altajskij kraj
758,Altajskij kraj,El_zovskaa,1,129,59,571,7,2,0,1,671,770,1065,110,671,110,0,0,1100,11,319,0,Altajskij kraj
759,Altajskij kraj,El_zovskaa,3,26,18,169,2,2,0,0,210,220,298,14,210,14,0,0,300,4,76,0,Altajskij kraj
760,Altajskij kraj,El_zovskaa,7,58,53,395,3,7,4,1,352,528,715,186,352,186,0,0,710,10,172,0,Altajskij kraj
761,Altajskij kraj,El_zovskaa,0,23,31,154,0,1,0,1,205,210,251,13,205,13,0,0,250,8,32,0,Altajskij kraj
554,Altajskij kraj,Alejskaa,4,90,50,321,3,3,2,1,439,474,612,41,439,41,0,0,580,6,100,0,Altajskij kraj
555,Altajskij kraj,Alejskaa,1,40,11,120,0,2,0,0,161,174,192,15,161,15,0,0,190,2,14,0,Altajskij kraj
556,Altajskij kraj,Alejskaa,0,1,6,24,0,0,0,0,29,31,35,2,29,2,0,0,44,0,13,0,Altajskij kraj
557,Altajskij kraj,Alejskaa,0,16,22,67,1,0,0,0,101,106,118,5,101,5,0,0,110,0,4,0,Altajskij kraj
558,Altajskij kraj,Alejskaa,0,18,12,117,0,0,0,0,135,147,153,13,135,13,0,0,150,1,2,0,Altajskij kraj
559,Altajskij kraj,Alejskaa,1,41,20,87,3,2,0,0,143,154,215,13,143,13,0,0,220,2,64,0,Altajskij kraj
560,Altajskij kraj,Alejskaa,4,84,45,240,1,1,0,1,350,376,469,33,350,33,0,0,470,7,87,0,Altajskij kraj
561,Altajskij kraj,Alejskaa,3,69,30,263,2,0,1,0,326,368,428,42,326,42,0,0,420,0,52,0,Altajskij kraj
562,Altajskij kraj,Alejskaa,0,15,7,46,0,1,0,0,66,69,76,3,66,3,0,0,79,0,10,0,Altajskij kraj
563,Altajskij kraj,Alejskaa,5,159,47,494,1,2,3,1,585,712,886,139,585,139,0,0,820,12,96,0,Altajskij kraj
565,Altajskij kraj,Alejskaa,0,31,7,121,1,2,0,0,136,162,220,29,136,29,0,0,210,3,45,0,Altajskij kraj
566,Altajskij kraj,Alejskaa,6,63,41,543,2,7,3,0,559,665,880,117,561,117,0,0,860,11,182,0,Altajskij kraj
567,Altajskij kraj,Alejskaa,2,65,54,172,2,3,0,1,287,299,357,18,287,18,0,0,340,6,35,0,Altajskij kraj
568,Altajskij kraj,Alejskaa,1,10,14,112,0,4,1,0,131,142,160,13,131,13,0,0,160,2,16,0,Altajskij kraj
569,Altajskij kraj,Alejskaa,1,27,22,106,0,0,1,1,143,158,178,19,143,19,0,0,170,4,8,0,Altajskij kraj
570,Altajskij kraj,Alejskaa,3,77,43,261,1,1,1,0,361,387,450,33,361,33,0,0,460,7,66,0,Altajskij kraj
571,Altajskij kraj,Alejskaa,2,165,49,352,2,6,2,1,546,579,779,43,546,43,0,0,720,10,131,0,Altajskij kraj
572,Altajskij kraj,Alejskaa,0,1,3,43,0,1,0,0,45,48,52,3,45,3,0,0,67,0,19,0,Altajskij kraj
573,Altajskij kraj,Alejskaa,6,62,34,271,2,3,2,0,332,380,455,48,332,48,0,0,460,0,80,0,Altajskij kraj
574,Altajskij kraj,Alejskaa,4,100,41,291,3,6,1,2,411,448,583,42,411,42,0,0,560,5,107,0,Altajskij kraj
575,Altajskij kraj,Alejskaa,3,38,49,303,5,3,2,2,333,405,464,77,333,77,0,0,480,5,70,0,Altajskij kraj
578,Altajskij kraj,Alejskaa,1,17,4,86,0,5,0,1,107,114,141,8,107,8,0,0,130,1,15,0,Altajskij kraj
579,Altajskij kraj,Alejskaa,1,13,10,35,0,0,0,0,55,59,73,6,55,6,0,0,80,2,19,0,Altajskij kraj
580,Altajskij kraj,Alejskaa,1,57,34,246,1,0,1,0,327,340,439,25,327,25,0,0,430,12,78,0,Altajskij kraj
581,Altajskij kraj,Alejskaa,2,21,18,146,0,5,0,0,154,192,220,39,154,39,0,0,250,1,57,0,Altajskij kraj
582,Altajskij kraj,Alejskaa,6,104,48,330,2,5,1,1,418,497,576,82,418,82,0,0,610,3,110,0,Altajskij kraj
583,Altajskij kraj,Alejskaa,0,10,6,43,0,0,0,0,53,59,63,6,53,6,0,0,70,0,11,0,Altajskij kraj
584,Altajskij kraj,Alejskaa,2,48,50,378,1,5,1,0,422,485,585,70,422,70,0,0,560,7,68,0,Altajskij kraj
585,Altajskij kraj,Alejskaa,1,51,38,203,3,2,2,0,255,300,320,49,255,49,0,0,360,4,56,0,Altajskij kraj
586,Altajskij kraj,Alejskaa,1,42,16,174,2,2,1,1,217,239,283,24,217,24,0,0,310,2,69,0,Altajskij kraj
587,Altajskij kraj,Alejskaa,1,69,47,226,2,2,1,0,321,348,409,28,321,28,0,0,400,1,51,0,Altajskij kraj
588,Altajskij kraj,Alejskaa,3,43,36,339,3,1,1,0,386,426,467,41,386,41,0,0,520,1,93,0,Altajskij kraj
589,Altajskij kraj,Alejskaa,0,68,34,261,2,4,0,0,341,369,427,32,341,32,0,0,440,4,67,0,Altajskij kraj
590,Altajskij kraj,Alejskaa,1,44,44,323,1,2,0,0,377,415,426,39,377,39,0,0,460,1,44,0,Altajskij kraj
763,Altajskij kraj,Zav_alovskaa,6,332,109,820,6,8,2,2,1135,1285,1837,164,1135,164,0,0,1750,14,451,0,Altajskij kraj
764,Altajskij kraj,Zav_alovskaa,8,362,113,1014,7,8,7,6,1418,1525,2101,133,1418,133,0,0,1800,26,249,0,Altajskij kraj
765,Altajskij kraj,Zav_alovskaa,10,272,103,733,4,7,3,4,1079,1136,1593,82,1081,82,0,0,1500,25,337,0,Altajskij kraj
766,Altajskij kraj,Zav_alovskaa,1,24,19,72,0,0,0,0,105,116,140,11,105,11,0,0,150,0,34,0,Altajskij kraj
767,Altajskij kraj,Zav_alovskaa,4,98,55,344,5,9,2,1,478,518,664,46,478,46,0,0,600,6,76,0,Altajskij kraj
768,Altajskij kraj,Zav_alovskaa,1,43,32,219,0,4,2,0,276,301,428,31,276,31,0,0,400,6,93,0,Altajskij kraj
769,Altajskij kraj,Zav_alovskaa,2,145,80,453,6,8,3,1,620,698,842,84,620,84,0,0,800,6,96,0,Altajskij kraj
770,Altajskij kraj,Zav_alovskaa,0,57,14,165,0,1,0,0,227,237,292,13,227,13,0,0,250,3,10,0,Altajskij kraj
771,Altajskij kraj,Zav_alovskaa,2,204,105,412,1,6,2,1,614,733,930,129,614,129,0,0,900,10,157,0,Altajskij kraj
772,Altajskij kraj,Zav_alovskaa,6,193,136,600,2,6,4,0,875,947,1271,89,875,89,0,0,1200,17,236,0,Altajskij kraj
773,Altajskij kraj,Zav_alovskaa,5,149,40,423,4,6,1,1,518,629,861,124,518,124,0,0,800,13,158,0,Altajskij kraj
774,Altajskij kraj,Zav_alovskaa,4,62,40,361,2,3,1,0,414,473,575,67,414,67,0,0,550,8,69,0,Altajskij kraj
775,Altajskij kraj,Zav_alovskaa,4,58,21,254,2,4,1,0,320,344,438,30,320,30,0,0,400,6,50,0,Altajskij kraj
776,Altajskij kraj,Zav_alovskaa,2,251,77,736,3,10,1,1,1000,1081,1478,92,1000,92,0,0,1300,11,208,0,Altajskij kraj
777,Altajskij kraj,Zav_alovskaa,4,223,62,451,5,4,2,1,667,752,1039,94,667,94,0,0,900,9,139,0,Altajskij kraj
779,Altajskij kraj,Zalesovskaa,1,43,24,153,3,1,2,0,198,227,319,30,198,30,0,0,300,1,72,0,Altajskij kraj
780,Altajskij kraj,Zalesovskaa,0,23,4,79,2,0,0,0,100,108,155,9,100,9,0,0,140,1,31,0,Altajskij kraj
781,Altajskij kraj,Zalesovskaa,0,82,24,214,2,10,1,2,301,335,578,38,301,38,0,0,560,4,221,0,Altajskij kraj
782,Altajskij kraj,Zalesovskaa,0,4,5,20,0,0,0,0,29,29,51,0,29,0,0,0,50,0,21,0,Altajskij kraj
783,Altajskij kraj,Zalesovskaa,0,8,3,71,0,1,0,0,78,83,131,5,78,5,0,0,110,0,27,0,Altajskij kraj
784,Altajskij kraj,Zalesovskaa,1,31,36,307,1,1,0,0,331,377,534,46,331,46,0,0,500,0,123,0,Altajskij kraj
785,Altajskij kraj,Zalesovskaa,3,199,39,425,5,3,3,1,641,678,1128,40,641,40,0,0,900,3,219,0,Altajskij kraj
786,Altajskij kraj,Zalesovskaa,3,228,49,417,8,4,3,5,684,717,1183,42,684,42,0,0,900,9,174,0,Altajskij kraj
787,Altajskij kraj,Zalesovskaa,8,205,56,607,8,7,2,1,840,894,1568,58,840,58,0,0,1300,4,402,0,Altajskij kraj
788,Altajskij kraj,Zalesovskaa,4,223,86,544,3,4,1,3,829,868,1571,45,829,45,0,0,1300,6,426,0,Altajskij kraj
789,Altajskij kraj,Zalesovskaa,1,59,12,157,1,4,1,1,224,236,402,14,224,14,0,0,380,2,142,0,Altajskij kraj
790,Altajskij kraj,Zalesovskaa,3,20,16,76,0,0,0,0,108,115,185,8,108,8,0,0,160,1,44,0,Altajskij kraj
791,Altajskij kraj,Zalesovskaa,0,28,30,229,1,1,1,1,268,291,479,28,268,28,0,0,450,5,154,0,Altajskij kraj
792,Altajskij kraj,Zalesovskaa,4,79,51,265,1,5,1,0,375,406,704,37,376,37,0,0,700,6,287,0,Altajskij kraj
793,Altajskij kraj,Zalesovskaa,0,14,8,72,1,0,0,0,89,95,143,7,89,7,0,0,120,1,24,0,Altajskij kraj
794,Altajskij kraj,Zalesovskaa,2,20,21,213,1,4,0,1,237,262,372,25,237,25,0,0,350,0,88,0,Altajskij kraj
795,Altajskij kraj,Zalesovskaa,0,14,22,81,1,1,0,0,115,119,180,4,115,4,0,0,150,0,31,0,Altajskij kraj
796,Altajskij kraj,Zalesovskaa,2,102,57,293,0,6,0,6,420,466,825,52,420,52,0,0,810,6,338,0,Altajskij kraj
797,Altajskij kraj,Zalesovskaa,0,17,8,55,0,0,0,0,61,80,125,19,61,19,0,0,110,0,30,0,Altajskij kraj
798,Altajskij kraj,Zalesovskaa,1,14,1,54,0,3,0,0,71,73,106,3,71,3,0,0,100,1,26,0,Altajskij kraj
799,Altajskij kraj,Zalesovskaa,4,128,56,300,1,3,3,1,461,496,714,38,461,38,0,0,710,3,211,0,Altajskij kraj
801,Altajskij kraj,Zarinskaa,3,26,15,212,2,5,3,0,237,266,391,31,237,31,0,0,375,2,107,0,Altajskij kraj
802,Altajskij kraj,Zarinskaa,0,69,30,276,3,2,1,3,369,384,538,25,369,25,0,0,520,10,126,0,Altajskij kraj
803,Altajskij kraj,Zarinskaa,0,26,18,169,0,0,0,0,201,213,280,14,201,14,0,0,280,2,65,0,Altajskij kraj
804,Altajskij kraj,Zarinskaa,2,28,25,248,5,3,0,1,281,312,396,34,281,34,0,0,360,3,45,0,Altajskij kraj
805,Altajskij kraj,Zarinskaa,5,14,35,153,1,1,1,0,190,210,279,20,190,20,0,0,260,0,50,0,Altajskij kraj
806,Altajskij kraj,Zarinskaa,2,7,20,106,1,1,1,0,121,138,180,20,121,20,0,0,155,3,14,0,Altajskij kraj
807,Altajskij kraj,Zarinskaa,1,10,9,58,1,0,1,0,76,80,98,4,76,4,0,0,90,0,10,0,Altajskij kraj
808,Altajskij kraj,Zarinskaa,1,24,41,250,0,0,2,2,288,320,393,35,288,35,0,0,390,3,67,0,Altajskij kraj
809,Altajskij kraj,Zarinskaa,5,97,47,226,6,7,2,0,364,390,474,30,364,30,0,0,450,4,56,0,Altajskij kraj
810,Altajskij kraj,Zarinskaa,5,169,66,500,7,10,3,6,721,766,1067,58,721,58,0,0,1125,13,346,0,Altajskij kraj
811,Altajskij kraj,Zarinskaa,2,17,20,113,1,1,1,2,144,157,226,14,144,14,0,0,225,1,67,0,Altajskij kraj
812,Altajskij kraj,Zarinskaa,2,11,8,74,1,1,3,0,92,100,116,8,92,8,0,0,105,0,5,0,Altajskij kraj
813,Altajskij kraj,Zarinskaa,0,8,7,28,0,0,0,0,41,43,60,2,41,2,0,0,50,0,7,0,Altajskij kraj
814,Altajskij kraj,Zarinskaa,2,66,23,255,2,1,1,0,320,350,408,33,320,33,0,0,435,3,82,0,Altajskij kraj
815,Altajskij kraj,Zarinskaa,3,47,28,168,2,0,0,0,242,248,330,8,242,8,0,0,320,2,70,0,Altajskij kraj
816,Altajskij kraj,Zarinskaa,0,8,5,26,0,0,0,0,36,39,53,4,36,4,0,0,65,1,25,0,Altajskij kraj
817,Altajskij kraj,Zarinskaa,0,5,8,30,1,3,1,0,48,48,69,0,48,0,0,0,60,0,12,0,Altajskij kraj
818,Altajskij kraj,Zarinskaa,0,48,44,265,1,4,2,1,344,365,514,27,344,27,0,0,495,6,124,0,Altajskij kraj
819,Altajskij kraj,Zarinskaa,0,2,3,73,0,0,0,0,63,78,92,15,63,15,0,0,105,0,27,0,Altajskij kraj
820,Altajskij kraj,Zarinskaa,1,10,18,44,0,0,0,1,71,74,103,4,71,4,0,0,100,1,25,0,Altajskij kraj
821,Altajskij kraj,Zarinskaa,0,14,4,48,0,1,0,0,59,67,78,8,59,8,0,0,75,0,8,0,Altajskij kraj
822,Altajskij kraj,Zarinskaa,1,52,35,277,1,1,0,1,336,368,485,36,336,36,0,0,500,4,128,0,Altajskij kraj
823,Altajskij kraj,Zarinskaa,2,15,10,91,1,0,2,1,116,122,151,6,116,6,0,0,155,0,33,0,Altajskij kraj
824,Altajskij kraj,Zarinskaa,4,72,39,380,3,5,1,1,461,505,637,49,461,49,0,0,640,5,130,0,Altajskij kraj
825,Altajskij kraj,Zarinskaa,0,2,1,33,0,0,0,0,36,36,46,0,36,0,0,0,55,0,19,0,Altajskij kraj
826,Altajskij kraj,Zarinskaa,0,1,7,50,0,1,0,1,55,60,84,5,55,5,0,0,85,0,25,0,Altajskij kraj
827,Altajskij kraj,Zarinskaa,0,11,8,70,0,1,0,0,83,90,123,8,83,8,0,0,115,1,24,0,Altajskij kraj
828,Altajskij kraj,Zarinskaa,1,58,21,241,1,1,1,0,243,324,428,84,243,84,0,0,415,3,88,0,Altajskij kraj
829,Altajskij kraj,Zarinskaa,4,38,30,239,4,2,0,2,295,319,391,28,295,28,0,0,435,4,112,0,Altajskij kraj
830,Altajskij kraj,Zarinskaa,0,15,10,59,1,0,1,2,80,88,120,8,80,8,0,0,110,0,22,0,Altajskij kraj
831,Altajskij kraj,Zarinskaa,3,17,21,133,2,2,3,0,168,181,221,14,168,14,0,0,210,1,28,0,Altajskij kraj
832,Altajskij kraj,Zarinskaa,5,70,64,531,5,3,0,2,636,680,855,50,636,50,0,0,860,6,174,0,Altajskij kraj
833,Altajskij kraj,Zarinskaa,1,35,29,178,2,1,1,10,230,257,313,30,230,30,0,0,300,3,40,0,Altajskij kraj
834,Altajskij kraj,Zarinskaa,3,150,42,488,1,3,2,1,629,690,857,63,629,63,0,0,840,2,148,0,Altajskij kraj
835,Altajskij kraj,Zarinskaa,2,91,65,417,7,3,0,2,537,587,742,58,537,58,0,0,780,8,185,0,Altajskij kraj
836,Altajskij kraj,Zarinskaa,1,27,29,175,0,0,0,0,210,232,346,24,210,24,0,0,335,2,101,0,Altajskij kraj
837,Altajskij kraj,Zarinskaa,2,32,17,143,1,2,0,1,188,198,297,12,188,12,0,0,270,2,70,0,Altajskij kraj
838,Altajskij kraj,Zarinskaa,2,55,15,176,0,3,2,0,249,253,288,5,249,5,0,0,300,1,46,0,Altajskij kraj
839,Altajskij kraj,Zarinskaa,1,18,5,89,3,0,0,0,113,116,129,4,113,4,0,0,130,1,13,0,Altajskij kraj
381,Altajskij kraj,gorodskaa,6,309,96,849,16,10,6,7,1137,1299,1956,180,1137,180,0,0,1700,18,383,0,Altajskij kraj
382,Altajskij kraj,gorodskaa,5,280,79,780,13,8,2,13,1122,1180,1805,72,1122,72,0,0,1800,14,606,0,Altajskij kraj
383,Altajskij kraj,gorodskaa,4,270,93,761,9,5,1,4,1119,1147,1753,52,1119,52,0,0,1700,24,529,0,Altajskij kraj
384,Altajskij kraj,gorodskaa,9,286,80,776,10,6,9,4,1146,1180,1801,54,1146,54,0,0,1700,20,500,0,Altajskij kraj
385,Altajskij kraj,gorodskaa,12,289,100,930,13,3,7,7,1319,1361,1951,59,1319,59,0,0,1800,17,422,0,Altajskij kraj
386,Altajskij kraj,gorodskaa,8,205,83,646,2,5,0,6,897,955,1777,66,897,66,0,0,1700,8,737,0,Altajskij kraj
387,Altajskij kraj,gorodskaa,3,351,124,974,6,7,8,7,1429,1480,2234,69,1430,69,0,0,2100,18,601,0,Altajskij kraj
388,Altajskij kraj,gorodskaa,7,297,71,767,6,3,6,4,1130,1161,1608,42,1130,42,0,0,1500,11,328,0,Altajskij kraj
389,Altajskij kraj,gorodskaa,7,278,81,819,7,7,4,1,1169,1204,1765,45,1169,45,0,0,1700,10,486,0,Altajskij kraj
390,Altajskij kraj,gorodskaa,12,251,69,820,8,8,7,4,1148,1179,1768,40,1148,40,0,0,1700,9,512,0,Altajskij kraj
391,Altajskij kraj,gorodskaa,9,285,89,811,12,3,6,4,1195,1219,1814,44,1196,44,0,0,1700,20,460,0,Altajskij kraj
392,Altajskij kraj,gorodskaa,6,236,87,719,10,7,4,3,1035,1072,1678,52,1035,52,0,0,1600,15,513,0,Altajskij kraj
393,Altajskij kraj,gorodskaa,9,270,68,801,3,7,3,5,1130,1166,1779,46,1132,46,0,0,1700,10,522,0,Altajskij kraj
394,Altajskij kraj,gorodskaa,7,270,75,752,6,7,8,3,1105,1128,1709,40,1106,40,0,0,1600,17,454,0,Altajskij kraj
395,Altajskij kraj,gorodskaa,8,205,78,600,3,4,6,5,831,909,1587,87,831,87,0,0,1500,9,582,0,Altajskij kraj
396,Altajskij kraj,gorodskaa,6,230,113,769,5,9,11,6,1089,1149,2056,79,1089,79,0,0,2000,19,832,0,Altajskij kraj
397,Altajskij kraj,gorodskaa,5,268,95,713,8,5,4,5,998,1103,1804,117,998,117,0,0,1700,12,585,0,Altajskij kraj
398,Altajskij kraj,gorodskaa,12,264,105,709,6,11,3,4,1035,1114,1905,92,1035,92,0,0,1800,13,673,0,Altajskij kraj
399,Altajskij kraj,gorodskaa,10,408,145,1074,13,9,6,0,1548,1665,2701,142,1548,142,0,0,2798,25,1108,0,Altajskij kraj
400,Altajskij kraj,gorodskaa,0,127,66,429,1,6,1,0,565,630,1025,66,565,66,0,0,900,1,269,0,Altajskij kraj
841,Altajskij kraj,Zmeinogorskaa,5,239,73,791,4,4,8,2,1066,1126,1566,73,1066,73,0,0,1300,13,161,0,Altajskij kraj
842,Altajskij kraj,Zmeinogorskaa,2,17,31,138,0,0,0,0,176,188,222,13,176,13,0,0,200,1,11,0,Altajskij kraj
843,Altajskij kraj,Zmeinogorskaa,5,165,52,411,3,3,6,0,598,645,932,56,598,56,0,0,800,9,146,0,Altajskij kraj
844,Altajskij kraj,Zmeinogorskaa,1,8,8,101,0,1,0,0,115,119,169,4,115,4,0,0,150,0,31,0,Altajskij kraj
845,Altajskij kraj,Zmeinogorskaa,0,14,6,44,0,0,0,0,62,64,80,2,62,2,0,0,80,0,16,0,Altajskij kraj
846,Altajskij kraj,Zmeinogorskaa,0,10,17,61,0,3,3,0,92,94,129,4,92,4,0,0,120,2,24,0,Altajskij kraj
847,Altajskij kraj,Zmeinogorskaa,3,108,18,248,1,3,0,0,349,381,550,38,349,38,0,0,500,6,113,0,Altajskij kraj
848,Altajskij kraj,Zmeinogorskaa,1,15,6,30,0,1,1,0,51,54,83,3,51,3,0,0,80,0,26,0,Altajskij kraj
850,Altajskij kraj,Zmeinogorskaa,4,46,8,88,1,2,1,1,117,151,216,36,117,36,0,0,250,2,97,0,Altajskij kraj
852,Altajskij kraj,Zmeinogorskaa,3,77,49,311,4,7,1,0,365,452,644,91,365,90,1,0,600,4,144,0,Altajskij kraj
853,Altajskij kraj,Zmeinogorskaa,0,4,12,54,0,0,0,0,70,70,103,0,70,0,0,0,100,0,30,0,Altajskij kraj
854,Altajskij kraj,Zmeinogorskaa,0,9,6,57,0,0,1,0,71,73,99,3,71,3,0,0,100,1,26,0,Altajskij kraj
